"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"8774","IL7R","0",1.48728754540016,0.747891409165124,36035316.5,0.686113999062621,7.81169120535497e-287,3.02536923532449e-284,74.5212038303694,35.9091415209888
"18684","CD3D","0",1.78676830868529,0.877333269978165,37656887.5,0.716988781682442,0,0,88.0300957592339,45.0840663623204
"27653","CCR7","0",0.995748558806391,0.716353144746249,37829763.5,0.720280348268293,0,0,60.4309165526676,19.4633114352522
"35601","S100A4","1",4.11896209007972,1.83826882091664,38063106.5,0.902820652592606,0,0,99.9558303886926,79.3792288690796
"43330","CD14","1",1.78477839127833,1.50530784771773,35867022.5,0.850731630640911,0,0,80.8303886925795,15.8844377617871
"54913","LYZ","1",4.92399328600779,3.5906467827157,39467819.5,0.936139107757723,0,0,99.9558303886926,47.3150037589947
"63280","CST3","1",3.54191717471957,2.50649299920354,36523945,0.866313206993666,0,0,99.9116607773852,37.1173880356568
"69295","S100A4","10",3.26633489948717,0.820229248920985,10734930,0.621929438733844,3.97606370105123e-34,4.3355822117547e-32,99.5359628770302,80.8379944067119
"71366","GNLY","10",1.18123985888812,0.821181851971843,11047164,0.640018752439068,1.79039311096274e-110,8.61792935439692e-108,41.0672853828306,14.0681182580903
"71384","CD8A","10",0.782289186754662,0.534595498191619,11254780,0.652047009945374,3.25652333627494e-128,1.79877536544996e-125,44.4315545243619,14.1779864163004
"76162","IL7R","10",2.04550047000887,1.25311928859376,13579714.5,0.786742365078379,3.13679503276481e-224,3.77468470835634e-221,86.1948955916473,39.3827407111466
"86072","CD3D","10",1.93635187201459,0.94301151113881,12662328.5,0.733593498706425,2.78494540909109e-135,1.6178612174813e-132,89.7911832946636,49.4306831801838
"99255","NKG7","10",2.98880961019686,2.41203440799825,15534974,0.900020555379948,0,0,97.4477958236659,23.2920495405513
"103263","FCGR3A","11",1.94373474844031,1.7555278752743,14362449,0.886365584565502,0,0,84.8822800495663,9.38293739728074
"105060","GNLY","11",4.22625268218644,3.98632816531166,15847917.5,0.978039933094512,0,0,97.7695167286245,11.8631405946511
"132949","NKG7","11",4.40615611271639,3.87973883347676,16012681.5,0.988208194731184,0,0,100,23.3925992330295
"136683","S100A4","12",3.35545041528183,0.890977788007646,4868966,0.653565729989964,6.91041156904673e-24,8.90739890617677e-23,99.7245179063361,81.2892851922234
"136877","FCER1A","12",2.21268156205806,2.18811766189059,7101564.5,0.953249455123184,0,0,91.1845730027548,1.88081664474005
"155085","CD4","12",0.577437228662963,0.267583220120137,4911917.5,0.659331148859527,1.65903723052493e-44,5.08640586399517e-43,63.6363636363636,22.9303708034888
"155995","LYZ","12",4.59233650799729,2.92053018185472,6260723.5,0.840382603727941,2.46527467669406e-122,3.75859569939048e-120,100,52.1902256005457
"164362","CST3","12",4.19907826908719,2.94310672163575,7115475,0.955116674176886,4.61005429747151e-236,2.42704952342196e-233,100,42.9323198362812
"170377","S100A4","13",3.5722513552128,1.11042305060498,4914074,0.701424881652392,1.28517721411372e-37,4.92076830140313e-35,100,81.3044536383548
"178106","CD14","13",1.1540164091107,0.723180724295266,5104550.5,0.728613108054774,2.21657308291791e-86,7.46852134558359e-83,73.3137829912023,22.0880992942322
"189689","LYZ","13",4.17830950353582,2.49650391370271,5504571.5,0.785711288217196,1.04404287379257e-81,3.19799823541516e-78,100,52.2414212703821
"198056","CST3","13",3.02346958013402,1.74483407985663,5253351.5,0.749852658744234,2.60700284746571e-68,4.62317652328998e-65,99.4134897360704,43.0031637868094
"210938","IL7R","14",1.46942988980831,0.634905959687549,4166705,0.643023427185597,1.52250952230067e-22,3.77201734149992e-20,63.1746031746032,40.980020417092
"253679","MS4A1","15",1.55388485789561,1.19384101525677,2807275,0.846543894142623,6.59199105015374e-119,1.1105527322194e-114,92.5,16.293544340442
"263511","CCR7","15",0.676798146528495,0.299408321677892,2137598.5,0.644600531940558,1.26247073504663e-16,2.31183092101419e-14,61.875,24.9155649908328
"271653","FCER1A","16",1.05950930074463,1.00417568966425,2670357.5,0.852880962380848,0,0,74.1721854304636,2.91777188328912
"289861","CD4","16",1.19888593683425,0.890821709447361,2557383,0.81679822803367,9.4351522643525e-73,8.36600053671297e-71,84.1059602649007,23.1974921630094
"299138","CST3","16",3.03854454148912,1.74403047087133,2346870.5,0.749562996948245,1.97835551460623e-31,8.03116996495689e-30,99.3377483443709,43.5206173137208
"310958","PPBP","17",2.9996533286936,2.9802777954512,2981402.5,0.971386415589087,0,0,94.5945945945946,1.43697560034719
"324465","LYZ","17",3.06536463743535,1.35238241072658,2065355.5,0.672924328755412,1.72082869762595e-14,9.11660410971834e-13,80.4054054054054,52.8257305429646
"332832","CST3","17",2.75912889517007,1.46236843593873,2232851,0.727496917787688,6.5524044146273e-26,5.60346990727036e-24,86.4864864864865,43.6204069823512
"340918","GNLY","18",4.55629665919862,4.18418355562252,2175569.5,0.960646542379033,4.81086567985013e-156,1.47361189288064e-152,95.4128440366973,14.7615151369303
"368807","NKG7","18",3.45353005181828,2.79177591228098,2061579.5,0.910313009312962,2.59440869977478e-81,3.23762987889671e-78,97.2477064220184,25.9806516821485
"372541","S100A4","19",3.4051775134167,0.92908973099312,1229752.5,0.679604125529908,6.28344967010245e-09,9.69388979782197e-08,97.7011494252874,81.542381845281
"388158","CD59","19",0.63224770779975,0.540340970725541,1350437.5,0.746298866048489,7.22323199400776e-66,2.53520394589685e-63,57.4712643678161,7.52920813500649
"389318","CD3D","19",2.38517541410561,1.35857449873343,1506027.5,0.832283327060927,4.12414220844212e-30,5.24373009702825e-28,97.7011494252874,50.9014856483485
"413102","IL7R","2",1.93009639836918,1.21411686085724,32187123,0.781712761160087,0,0,84.1651542649728,36.2595011240767
"423012","CD3D","2",1.94976284046533,1.02574478032896,30977999,0.752347363680327,0,0,93.3303085299456,46.1139064340006
"439929","S100A4","20",3.46379261959054,0.987760054918651,1151250.5,0.666754215824988,1.3755662297735e-07,5.95736870771058e-06,100,81.5363168773735
"447658","CD14","20",1.33284105633847,0.893749918888884,1329227.5,0.769830753094578,8.06174780936685e-31,1.18101100299481e-27,81.9277108433735,22.6890352353026
"455840","MS4A7","20",0.561249984418696,0.282236902440335,1103677,0.639201713839929,3.21055494380702e-11,2.8244500855518e-09,49.3975903614458,17.2715473729751
"455843","MS4A1","20",1.47104626246811,1.10625303937475,1431703.5,0.829180395088985,7.32216617263723e-57,9.18200198553587e-53,89.1566265060241,16.5889535163198
"459241","LYZ","20",4.24206810750422,2.52955511750738,1349895,0.781800470159251,6.92642866938767e-21,2.91723859482935e-18,100,52.8337259049176
"467608","CST3","20",3.1130277661908,1.81311005358056,1312969,0.760414537059935,1.60462018295024e-19,4.91509749493866e-17,100,43.7004278229102
"489240","CD59","21",0.765414497853269,0.67231925512772,563984,0.819566692678475,8.17613435994139e-43,1.16731640306723e-40,72.7272727272727,7.63439313288256
"507511","FCER1A","22",0.782967391361607,0.72144467062165,477699.5,0.738895290833018,2.95557365799568e-48,2.8052140516199e-46,51.6129032258064,3.36130424358667
"508090","CD34","22",0.725298096778682,0.724647341066981,500362,0.773949157392441,0,0,54.8387096774194,0.0623351714217214
"522934","CD59","22",0.525852657487562,0.432336841491258,497291,0.769199000781123,4.12908544493898e-29,2.73868907444437e-27,64.5161290322581,7.65284104531287
"541011","S100A4","3",3.92570537927923,1.61613585534846,34632078.5,0.841766007566738,0,0,99.9545867393279,79.4476557482338
"548740","CD14","3",1.69313585718211,1.39786966244197,35250510.5,0.856797592679122,0,0,86.1943687556766,15.467779918647
"556922","MS4A7","3",0.823124691611784,0.60698401926253,29225816,0.710361593001127,0,0,56.3124432334242,12.8131021194605
"559413","CD4","3",0.769747914150868,0.508895921838254,28220178,0.685918593303104,0,0,56.1762034514078,19.8030400342539
"560323","LYZ","3",4.84438118123862,3.48973699248142,37795908,0.918665929320983,0,0,100,47.4844786983515
"568690","CST3","3",3.72317556900136,2.70079616003734,37140866,0.902744502914868,0,0,99.9545867393279,37.3207022050953
"590619","MS4A1","4",2.26652747634342,2.09228102487396,34444861.5,0.934548042664074,0,0,92.3946557040082,9.11826821541711
"610488","CD8A","5",1.31956626459957,1.1359604861495,23971531,0.784040114909325,0,0,65.1515151515152,11.3459745104134
"625176","CD3D","5",2.17559379584735,1.23716036266784,24459894.5,0.800013086124953,0,0,92.1717171717172,47.7256242876386
"638359","NKG7","5",2.72133993007831,2.21283831969749,25984413.5,0.849875735779722,0,0,84.5328282828283,21.5780748109004
"644182","CD8A","6",1.31480156739005,1.1153190514941,21368335.5,0.829705518961626,0,0,77.887537993921,11.226366888094
"658870","CD3D","6",1.87974112784284,0.904470643652137,18665587.5,0.724761222670392,4.25357025195161e-186,2.65407029757884e-183,93.3890577507599,48.252427184466
"667839","CCR7","6",1.04961523134808,0.714981834881848,18791089.5,0.729634307054561,9.16825943277416e-294,2.80832121207175e-290,67.2492401215805,22.3709759836484
"682654","IL7R","7",1.76741135839176,0.974692517036475,15892397,0.729568428269657,8.77053995799087e-182,2.95514573344544e-178,80.5631244323342,39.1306545362648
"692564","CD3D","7",1.83602038062372,0.848488196606203,15431018,0.708388014020842,7.30751188566763e-136,9.11923353613649e-133,88.283378746594,49.0270406873894
"709481","S100A4","8",4.0673007594726,1.66440300376773,16538816,0.858638603199213,0,0,100,80.716903459009
"709755","FCGR3A","8",2.37839235614051,2.22538797138707,18217956,0.945813793017875,0,0,93.4850051706308,8.35885335609217
"725392","MS4A7","8",1.90942728705767,1.70838924767227,17661235,0.916910748095454,0,0,89.5553257497415,13.8962799337316
"727883","CD4","8",0.627555460823486,0.328248397180092,12162185.5,0.631418958259752,6.54178291340142e-77,3.33967929521436e-75,49.9482936918304,22.3605602690898
"728793","LYZ","8",2.91754494761029,1.25299183653605,13745420,0.7136150634475,1.54685266418214e-124,1.26811809408645e-122,97.9317476732161,50.8409056679552
"737160","CST3","8",3.76209915835365,2.57415701297001,17093729,0.88744778296257,0,0,99.8965873836608,41.2068878959787
"759089","MS4A1","9",2.34422120213461,2.06273196159553,16498005.5,0.929034654591585,0,0,95.6081081081081,13.3813381338134
